date,areaType,areaCode,areaName,metric,age,value,rate
28/09/2020,nation,W92000004,Wales,femaleCases,50_to_54,1473,1442.8
28/09/2020,nation,W92000004,Wales,maleCases,50_to_54,771,795.0
28/09/2020,nation,W92000004,Wales,femaleCases,55_to_59,1291,1140.6
28/09/2020,nation,W92000004,Wales,maleCases,55_to_59,823,767.1
28/09/2020,nation,W92000004,Wales,femaleCases,60_to_64,794,802.4
28/09/2020,nation,W92000004,Wales,maleCases,60_to_64,562,598.5
28/09/2020,nation,W92000004,Wales,femaleCases,65_to_69,400,427.5
28/09/2020,nation,W92000004,Wales,maleCases,65_to_69,404,456.2
28/09/2020,nation,W92000004,Wales,femaleCases,70_to_74,370,399.4
28/09/2020,nation,W92000004,Wales,maleCases,70_to_74,487,562.1
28/09/2020,nation,W92000004,Wales,femaleCases,75_to_79,448,665.8
28/09/2020,nation,W92000004,Wales,maleCases,75_to_79,541,909.2
28/09/2020,nation,W92000004,Wales,femaleCases,80_to_84,537,1072.5
28/09/2020,nation,W92000004,Wales,maleCases,80_to_84,536,1350.1
28/09/2020,nation,W92000004,Wales,femaleCases,85_to_89,631,1942.6
28/09/2020,nation,W92000004,Wales,maleCases,85_to_89,434,2028.4
28/09/2020,nation,W92000004,Wales,femaleCases,90+,705,3385.4
28/09/2020,nation,W92000004,Wales,maleCases,90+,321,3312.4
30/09/2020,nation,W92000004,Wales,femaleCases,0_to_4,95,117.5
30/09/2020,nation,W92000004,Wales,maleCases,0_to_4,122,144.0
30/09/2020,nation,W92000004,Wales,femaleCases,10_to_14,116,129.5
30/09/2020,nation,W92000004,Wales,maleCases,10_to_14,157,166.7
30/09/2020,nation,W92000004,Wales,femaleCases,15_to_19,436,494.9
30/09/2020,nation,W92000004,Wales,maleCases,15_to_19,371,400.2
30/09/2020,nation,W92000004,Wales,femaleCases,20_to_24,1089,1310.8
30/09/2020,nation,W92000004,Wales,maleCases,20_to_24,674,754.8
30/09/2020,nation,W92000004,Wales,femaleCases,25_to_29,1233,1283.6
30/09/2020,nation,W92000004,Wales,maleCases,25_to_29,771,725.0
30/09/2020,nation,W92000004,Wales,femaleCases,30_to_34,1097,1078.5
30/09/2020,nation,W92000004,Wales,maleCases,30_to_34,715,671.1
30/09/2020,nation,W92000004,Wales,femaleCases,35_to_39,1071,1107.7
30/09/2020,nation,W92000004,Wales,maleCases,35_to_39,695,722.0
30/09/2020,nation,W92000004,Wales,femaleCases,40_to_44,1092,1167.9
30/09/2020,nation,W92000004,Wales,maleCases,40_to_44,622,680.4
30/09/2020,nation,W92000004,Wales,femaleCases,45_to_49,1314,1529.8
30/09/2020,nation,W92000004,Wales,maleCases,45_to_49,734,877.3
30/09/2020,nation,W92000004,Wales,femaleCases,5_to_9,96,86.0
30/09/2020,nation,W92000004,Wales,maleCases,5_to_9,100,94.5
30/09/2020,nation,W92000004,Wales,femaleCases,50_to_54,1488,1457.5
30/09/2020,nation,W92000004,Wales,maleCases,50_to_54,789,813.6
30/09/2020,nation,W92000004,Wales,femaleCases,55_to_59,1307,1154.7
30/09/2020,nation,W92000004,Wales,maleCases,55_to_59,841,783.8
30/09/2020,nation,W92000004,Wales,femaleCases,60_to_64,805,813.5
30/09/2020,nation,W92000004,Wales,maleCases,60_to_64,573,610.2
30/09/2020,nation,W92000004,Wales,femaleCases,65_to_69,402,429.6
30/09/2020,nation,W92000004,Wales,maleCases,65_to_69,407,459.6
30/09/2020,nation,W92000004,Wales,femaleCases,70_to_74,372,401.5
30/09/2020,nation,W92000004,Wales,maleCases,70_to_74,490,565.6
30/09/2020,nation,W92000004,Wales,femaleCases,75_to_79,451,670.3
30/09/2020,nation,W92000004,Wales,maleCases,75_to_79,546,917.6
30/09/2020,nation,W92000004,Wales,femaleCases,80_to_84,540,1078.5
30/09/2020,nation,W92000004,Wales,maleCases,80_to_84,537,1352.6
30/09/2020,nation,W92000004,Wales,femaleCases,85_to_89,633,1948.8
