Area,Date,Total_Cases,Daily_Cases
Torfaen,30/04/2020,299,4
Vale of Glamorgan,30/04/2020,518,11
Wrexham,30/04/2020,243,13
Anglesey,01/05/2020,83,2
Blaenau Gwent,01/05/2020,275,3
Bridgend,01/05/2020,401,0
Caerphilly,01/05/2020,598,9
Cardiff,01/05/2020,1696,28
Carmarthenshire,01/05/2020,473,10
Ceredigion,01/05/2020,36,0
Conwy,01/05/2020,228,11
Denbighshire,01/05/2020,258,7
Flintshire,01/05/2020,228,1
Gwynedd,01/05/2020,233,4
Merthyr Tydfil,01/05/2020,257,8
Monmouthshire,01/05/2020,245,8
Neath Port Talbot,01/05/2020,493,4
Newport,01/05/2020,690,6
Pembrokeshire,01/05/2020,311,1
Powys,01/05/2020,171,2
Rhondda Cynon Taf,01/05/2020,1112,27
Swansea,01/05/2020,1045,16
Torfaen,01/05/2020,301,2
Vale of Glamorgan,01/05/2020,522,4
Wrexham,01/05/2020,248,5
Anglesey,02/05/2020,88,5
Blaenau Gwent,02/05/2020,276,1
Bridgend,02/05/2020,411,10
Caerphilly,02/05/2020,602,4
Cardiff,02/05/2020,1713,17
Carmarthenshire,02/05/2020,482,9
Ceredigion,02/05/2020,36,0
Conwy,02/05/2020,235,7
Denbighshire,02/05/2020,266,8
Flintshire,02/05/2020,234,6
Gwynedd,02/05/2020,240,7
Merthyr Tydfil,02/05/2020,266,9
Monmouthshire,02/05/2020,249,4
Neath Port Talbot,02/05/2020,498,5
Newport,02/05/2020,701,11
Pembrokeshire,02/05/2020,213,2
Powys,02/05/2020,179,8
Rhondda Cynon Taf,02/05/2020,1130,12
Swansea,02/05/2020,1073,28
Torfaen,02/05/2020,302,1
Vale of Glamorgan,02/05/2020,533,11
Wrexham,02/05/2020,257,9
Anglesey,03/05/2020,91,3
Blaenau Gwent,03/05/2020,278,2
Bridgend,03/05/2020,414,3
Caerphilly,03/05/2020,605,3
Cardiff,03/05/2020,1743,30
Carmarthenshire,03/05/2020,496,14
Ceredigion,03/05/2020,37,1
Conwy,03/05/2020,244,9
Denbighshire,03/05/2020,278,12
Flintshire,03/05/2020,241,7
Gwynedd,03/05/2020,245,5
Merthyr Tydfil,03/05/2020,268,2
Monmouthshire,03/05/2020,250,1
Neath Port Talbot,03/05/2020,504,6
Newport,03/05/2020,707,6
Pembrokeshire,03/05/2020,224,11
Powys,03/05/2020,182,3
Rhondda Cynon Taf,03/05/2020,1146,16
Swansea,03/05/2020,1091,18
Torfaen,03/05/2020,303,1
Vale of Glamorgan,03/05/2020,537,4
Wrexham,03/05/2020,272,15
Anglesey,04/05/2020,94,3
Blaenau Gwent,04/05/2020,284,6
Bridgend,04/05/2020,423,9
Caerphilly,04/05/2020,610,5
Cardiff,04/05/2020,1768,25
Carmarthenshire,04/05/2020,503,7
Ceredigion,04/05/2020,37,0
Conwy,04/05/2020,258,14
Denbighshire,04/05/2020,284,5
Flintshire,04/05/2020,253,12
Gwynedd,04/05/2020,247,2
Merthyr Tydfil,04/05/2020,278,10
Monmouthshire,04/05/2020,256,6
Neath Port Talbot,04/05/2020,515,11
Newport,04/05/2020,718,11
Pembrokeshire,04/05/2020,226,2
Powys,04/05/2020,188,6
Rhondda Cynon Taf,04/05/2020,1164,8
Swansea,04/05/2020,1111,18
Torfaen,04/05/2020,306,20
Vale of Glamorgan,04/05/2020,543,3
Wrexham,04/05/2020,281,6
Anglesey,05/05/2020,96,9
Blaenau Gwent,05/05/2020,288,4
Bridgend,05/05/2020,427,4
Caerphilly,05/05/2020,613,3
Cardiff,05/05/2020,1783,15
Carmarthenshire,05/05/2020,503,0
Ceredigion,05/05/2020,37,0
Conwy,05/05/2020,262,4
Denbighshire,05/05/2020,290,6
Flintshire,05/05/2020,275,22
Gwynedd,05/05/2020,252,5
Merthyr Tydfil,05/05/2020,282,4
Monmouthshire,05/05/2020,272,16
Neath Port Talbot,05/05/2020,515,0
Newport,05/05/2020,728,10
Pembrokeshire,05/05/2020,230,4
Powys,05/05/2020,194,6
Rhondda Cynon Taf,05/05/2020,1182,18
Swansea,05/05/2020,1115,4
Torfaen,05/05/2020,307,1
Vale of Glamorgan,05/05/2020,548,5
Wrexham,05/05/2020,293,12
Anglesey,06/05/2020,97,1
Blaenau Gwent,06/05/2020,290,2
Bridgend,06/05/2020,429,2
Caerphilly,06/05/2020,616,3
Cardiff,06/05/2020,1789,6
Carmarthenshire,06/05/2020,503,0
Ceredigion,06/05/2020,37,0
Conwy,06/05/2020,268,6
Denbighshire,06/05/2020,296,5
Flintshire,06/05/2020,280,5
Gwynedd,06/05/2020,252,0
Merthyr Tydfil,06/05/2020,282,6
Monmouthshire,06/05/2020,272,4
Neath Port Talbot,06/05/2020,517,2
Newport,06/05/2020,736,8
Pembrokeshire,06/05/2020,231,1
Powys,06/05/2020,196,2
Rhondda Cynon Taf,06/05/2020,1196,13
Swansea,06/05/2020,1129,14
Torfaen,06/05/2020,308,1
Vale of Glamorgan,06/05/2020,555,7
Wrexham,06/05/2020,299,6
Anglesey,07/05/2020,100,3
Blaenau Gwent,07/05/2020,294,4
Bridgend,07/05/2020,432,3
Caerphilly,07/05/2020,621,5
Cardiff,07/05/2020,1797,8
Carmarthenshire,07/05/2020,508,5
Ceredigion,07/05/2020,37,0
Conwy,07/05/2020,275,7
Denbighshire,07/05/2020,299,4
Flintshire,07/05/2020,285,5
Gwynedd,07/05/2020,253,1
Merthyr Tydfil,07/05/2020,293,5
Monmouthshire,07/05/2020,276,0
Neath Port Talbot,07/05/2020,517,0
Newport,07/05/2020,739,3
Pembrokeshire,07/05/2020,233,2
Powys,07/05/2020,197,1
Rhondda Cynon Taf,07/05/2020,1206,11
Swansea,07/05/2020,1137,8
Torfaen,07/05/2020,308,0
Vale of Glamorgan,07/05/2020,558,3
Wrexham,07/05/2020,304,5
Anglesey,08/05/2020,110,10
Blaenau Gwent,08/05/2020,298,4
Bridgend,08/05/2020,437,5
Caerphilly,08/05/2020,625,4
Cardiff,08/05/2020,1802,5
Carmarthenshire,08/05/2020,520,12
Ceredigion,08/05/2020,38,1
Conwy,08/05/2020,280,5
Denbighshire,08/05/2020,308,9
Flintshire,08/05/2020,305,20
Gwynedd,08/05/2020,267,14
Merthyr Tydfil,08/05/2020,296,3
Monmouthshire,08/05/2020,276,0
Neath Port Talbot,08/05/2020,518,1
Newport,08/05/2020,739,0
Pembrokeshire,08/05/2020,236,3
Powys,08/05/2020,198,1
Rhondda Cynon Taf,08/05/2020,1214,8
Swansea,08/05/2020,1143,6
Torfaen,08/05/2020,308,0
Vale of Glamorgan,08/05/2020,564,6
Wrexham,08/05/2020,337,33
Anglesey,09/05/2020,114,4
Blaenau Gwent,09/05/2020,302,4
Bridgend,09/05/2020,438,1
Caerphilly,09/05/2020,628,3
Cardiff,09/05/2020,1809,7
Carmarthenshire,09/05/2020,521,1
Ceredigion,09/05/2020,38,0
Conwy,09/05/2020,283,3
Denbighshire,09/05/2020,315,7
Flintshire,09/05/2020,308,3
Gwynedd,09/05/2020,277,10
Merthyr Tydfil,09/05/2020,300,4
Monmouthshire,09/05/2020,277,1
Neath Port Talbot,09/05/2020,522,4
Newport,09/05/2020,755,16
Pembrokeshire,09/05/2020,245,1
Powys,09/05/2020,199,1
Rhondda Cynon Taf,09/05/2020,1240,26
Swansea,09/05/2020,1146,3
Torfaen,09/05/2020,309,1
Vale of Glamorgan,09/05/2020,567,3
Wrexham,09/05/2020,341,4
Anglesey,10/05/2020,127,13
